sim_id,err,design,theta_hat,Eb2,se_hat_add,se_hat_unadj,se_hat_cgm,se_hat_iid,denom,EnV2,Ea2,B_ab,B_bb,B_bV,B_aV,B_eps,leak,leak_row,leak_col,leak_own,coupling
10,-0.08671103014740311,rep_prediction_S2,0.9132889698525969,0.33997181805160254,0.03030000852313368,,0.027180674544480404,0.013391983918238138,1.4474550515123648,0.9292225170655533,0.27820476485266943,0.2624880825452134,-0.33997181805160254,-0.08913035819760441,0.06909220596358548,-0.027988430868291413,-0.08737033540826639,-0.046352403157046244,-0.04101793225122015,-0.0017600227893380298,0.27414159899482876
10,-0.06019107409675706,rep_prediction_S5,0.9398089259032429,0.208295518269982,0.030258985188681864,,0.02689251891773719,0.013872476155891685,1.3289853305188815,0.9292225170655533,0.18678550214423706,0.17112152941896985,-0.208295518269982,-0.0957336475916731,0.08037800798902664,-0.02746342604910662,-0.0943869112413121,-0.07077160241761413,-0.023615308823697972,-0.0013467363503610107,0.2536682594763921
10,-0.05874943877982086,rep_prediction_S10,0.9412505612201791,0.1733406027927153,0.030170177695875152,,0.026694928249655372,0.014059469652273431,1.271005578520298,0.9292225170655533,0.1525880139600121,0.14260475472344541,-0.1733406027927153,-0.08422122933101475,0.06897834860846029,-0.028692135632264765,-0.08131939320600798,-0.055185695368219344,-0.026133697837788628,-0.002901836125006762,0.2349080749103508
11,-0.06966638098283551,rep_mean_S10,0.9303336190171645,0.3149953929290529,0.038736396502533375,0.03469975562908642,,,,,,,,,,,,,,,
11,-0.0657325446503243,rep_median_S10,0.9342674553496757,0.3149953929290529,0.03827802685212991,0.034490914869485606,,,,,,,,,,,,,,,
11,-0.05861937270115747,rep_prediction_S1,0.9413806272988425,0.31906393152828283,0.0345027338420798,,0.03119254672676369,0.01474844995101835,1.316695344419661,0.9089114245833481,0.3832988943454606,0.27577307712425686,-0.31906393152828283,-0.04435999415401495,0.03914384877223393,-0.028676855342607763,-0.043969120601512854,-0.008518818760997807,-0.03545030184051505,-0.00039087355250209564,0.4726848030199891
11,-0.050173616673784616,rep_prediction_S2,0.9498263833262154,0.20355369604818838,0.03572423201902161,,0.0323028705919695,0.01525785506968938,1.1586299909185698,0.9089114245833481,0.23980377473344933,0.17576582319089806,-0.20355369604818838,-0.02308243514351675,0.01701860903945518,-0.02428095806974726,-0.024445175317443307,0.00046940768799368527,-0.024914583005437002,0.0013627401739265644,0.45111352032685825
11,-0.043242977384646,rep_prediction_S5,0.956757022615354,0.1400334869963207,0.036734248187558924,,0.03352175432224124,0.015025048829251483,1.1710162770289823,0.9089114245833481,0.15835789772466224,0.12079722670970151,-0.1400334869963207,-0.06103568272465681,0.04636799161832505,-0.016734278991665838,-0.061201860119163475,-0.024124139901943426,-0.03707772021722004,0.00016617739450665666,0.4055953509396808
11,-0.045229902410932055,rep_prediction_S10,0.954770097589068,0.09953211465600821,0.03505697488142291,,0.03175881496350313,0.01484664858321101,1.1644325361284062,0.9089114245833481,0.11965365197633929,0.08789593360498735,-0.09953211465600821,-0.07799449844452497,0.05872619609661066,-0.021762686574266863,-0.07792425075133419,-0.040399353509522166,-0.03752489724181202,-7.02476931907785e-05,0.43597887548502245
12,0.01255796616400251,rep_mean_S10,1.0125579661640025,0.4911549160440062,0.03629594781686242,0.029157392487255743,,,,,,,,,,,,,,,
12,0.005532761309760437,rep_median_S10,1.0055327613097604,0.4911549160440062,0.03676679698072032,0.02950969020117554,,,,,,,,,,,,,,,
12,-0.004738309903291049,rep_prediction_S1,0.995261690096709,0.4909003298588279,0.026758672501296266,,0.023358948104115165,0.013054796276752134,1.5369826290875677,1.112457785694197,0.45324825419642456,0.4108522752906667,-0.4909003298588279,0.03318774323272868,-0.014081470714226328,0.05365908203706699,0.03593970628931379,0.019584286031124547,0.016355420258189243,-0.0027519630565850995,0.249427482579063
12,0.031190855898224124,rep_prediction_S2,1.0311908558982241,0.3801539759734496,0.026149231534368562,,0.022659656981739683,0.013052350288137778,1.4650849711158649,1.112457785694197,0.3460001205995688,0.3239505917054228,-0.3801539759734496,0.013763395275891023,0.01080079572160771,0.07733644748325703,0.015548671415852318,0.010599204364774425,0.004949467051077878,-0.0017852761399612998,0.2058453103424546
12,0.03370971061738337,rep_prediction_S5,1.0337097106173834,0.28767278815124053,0.026473489563851805,,0.022695217267450267,0.013631512338132416,1.318977089258833,1.112457785694197,0.2547913186359647,0.24765192161453753,-0.28767278815124053,0.0405767422933024,-0.026866358075502056,0.0707728183087769,0.04169077510568893,0.04393608810733482,-0.0022453130016458966,-0.00111403281238652,0.16393717272047414
12,0.043507331635455726,rep_prediction_S10,1.0435073316354557,0.23726249884433015,0.026094509256587864,,0.02225727665288614,0.013622861576474897,1.320418660465099,1.112457785694197,0.20664751940189663,0.20463099996999104,-0.23726249884433015,0.014650812036714169,0.002074221361140393,0.07335435803498394,0.01591905980162679,0.026453261013730047,-0.01053420121210326,-0.0012682477649126147,0.14603242600499441
13,-0.09106448886668994,rep_mean_S10,0.9089355111333101,0.524611670460304,0.03400403530790117,0.029622744462420948,,,,,,,,,,,,,,,
13,-0.09208640090648124,rep_median_S10,0.9079135990935188,0.524611670460304,0.032033329447815326,0.029868118287527952,,,,,,,,,,,,,,,
